empresa_id,canalizacion_id,propiedad,cudn,tension,cant_ductos,diam_ductos,datum,zona,x1,y1,long1,lat1,x2,y2,long2,lat2
18,2256563,Inst. de prop. terce,DAEFA040630,AT,4,6.300,PSAD56,19,187642.730,5703266.590,-72.59718170,-38.76667180,187688.850,5703300.010,-72.59663680,-38.76638760
18,2256564,Inst. de prop. terce,DAEFA040630,AT,4,6.300,PSAD56,19,187629.535,5703256.788,-72.59733770,-38.76675530,187642.730,5703266.590,-72.59718170,-38.76667180
18,2256565,Inst. de prop. terce,DAEFA040630,AT,4,6.300,PSAD56,19,187629.535,5703256.788,-72.59733770,-38.76675530,187632.559,5703253.035,-72.59730470,-38.76679010
18,2256566,Inst. de prop. terce,DAEFA040630,AT,4,6.300,PSAD56,19,187633.693,5703251.345,-72.59729240,-38.76680570,187632.559,5703253.035,-72.59730470,-38.76679010
18,9396122,Inst. de distribució,DBEFA011100,BT,1,11.000,PSAD56,19,188331.714,5702734.521,-72.58950700,-38.77170070,188354.719,5702741.986,-72.58923940,-38.77164170
18,9396123,Inst. de distribució,DBEFA011100,BT,1,11.000,PSAD56,19,188354.719,5702741.986,-72.58923940,-38.77164170,188331.714,5702734.521,-72.58950700,-38.77170070
18,9396124,Inst. de distribució,DBEFA010600,BT,1,6.000,PSAD56,19,188354.719,5702741.986,-72.58923940,-38.77164170,188331.714,5702734.521,-72.58950700,-38.77170070
18,9448931,Inst. de distribució,DBEFA011100,BT,1,11.000,PSAD56,19,187710.688,5702675.833,-72.59666820,-38.77200890,187708.450,5702664.404,-72.59669900,-38.77211090
18,9448932,Inst. de distribució,DBEFA011100,BT,1,11.000,PSAD56,19,187708.450,5702664.404,-72.59669900,-38.77211090,187710.688,5702675.833,-72.59666820,-38.77200890
18,9448933,Inst. de distribució,DBEFA011100,BT,1,11.000,PSAD56,19,187710.688,5702675.833,-72.59666820,-38.77200890,187708.450,5702664.404,-72.59669900,-38.77211090
18,9448934,Inst. de distribució,DBEFA011100,BT,1,11.000,PSAD56,19,187701.904,5702588.972,-72.59680830,-38.77278700,187708.450,5702664.404,-72.59669900,-38.77211090
18,9448935,Inst. de distribució,DBEFA011100,BT,1,11.000,PSAD56,19,187708.450,5702664.404,-72.59669900,-38.77211090,187701.904,5702588.972,-72.59680830,-38.77278700
18,9448936,Inst. de distribució,DBEFA011100,BT,1,11.000,PSAD56,19,187701.904,5702588.972,-72.59680830,-38.77278700,187708.450,5702664.404,-72.59669900,-38.77211090
18,9448937,Inst. de distribució,DBEFA011100,BT,1,11.000,PSAD56,19,187707.157,5702558.029,-72.59676200,-38.77306710,187701.904,5702588.972,-72.59680830,-38.77278700
18,9448938,Inst. de distribució,DBEFA011100,BT,1,11.000,PSAD56,19,187707.157,5702558.029,-72.59676200,-38.77306710,187701.904,5702588.972,-72.59680830,-38.77278700
