empresa_id;gen_dx_id;cliente_id;nom_gen_dx;cap_iny;cap_inst;f_potencia;gen_tec;almacenamiento;recurso_energetico;estado;pre_ord;fecha_scr;fecha_cnx;nodo_id;rotulo_poste_camara;td_id;alimentador_id;barra_mt_id;trf_poder_id;subestacion_id;cap_control;lim_fp_cap;lim_fp_ind;fases;tension;datum;zona;x;y;lat;long
18;2606595;2606595;;1.5;1.5;1;Fotovoltaico;NO;SOLAR;Conectado;1;20-12-2019 12:12;23-03-2020 12:03;;157153;9516987;675;194;146;;NO;1;1;MONOFASICO;0.22;1;19;186622.213;5705082.042;-38.7499828;-72.6080817
18;2652340;2652340;;1;1.005;;Fotovoltaico;;SOLAR;Formulario 4;;02-03-2022 12:03;;;936407;6988084;675;194;146;;NO;1;1;MONOFASICO;;1;19;188934.47;5698292.875;-38.8118601;-72.5845848
18;2688563;2688563;;2;2;1;Fotovoltaico;NO;SOLAR;Formulario 4;1;22-06-2022 12:06;;40017851;156945;440781;675;194;146;;NO;1;1;MONOFASICO;0.22;1;19;186707.095;5705632.341;-38.7450638;-72.6068575
18;2690407;2690407;;2;2;1;Fotovoltaico;NO;SOLAR;Formulario 4;1;15-06-2022 12:06;;;157224;2966683;675;194;146;;NO;1;1;MONOFASICO;0.22;1;19;186817.268;5705699.827;-38.7444959;-72.6055617
18;5259305;5259305;;3;3;;Inversores;;SOLAR;Formulario 4;;01-09-2015 12:09;;38966260;802408;5616090;675;194;146;;NO;1;1;MONOFASICO;;1;19;191688.241;5699096.356;-38.8056018;-72.5525701
18;5290420;5290420;;8.2;8.2;;Fotovoltaico;;SOLAR;Formulario 4;;22-09-2021 12:09;;39960478;495206;447362;675;194;146;;NO;1;1;MONOFASICO;;1;19;193502.521;5698306.665;-38.8133373;-72.5320669
18;5501868;5501868;;5;5;;Fotovoltaico;;SOLAR;Formulario 4;;29-09-2021 12:09;;;157038;7918018;675;194;146;;NO;1;1;MONOFASICO;;1;19;187161.657;5705760.39;-38.7440733;-72.6015794
18;5749585;5749585;;1.5;1.5;1;Fotovoltaico;NO;SOLAR;Conectado;1;13-12-2017 12:12;07-06-2018 12:06;;916395;8875096;675;194;146;;NO;1;1;MONOFASICO;0.22;1;19;189257.111;5702743.492;-38.7719465;-72.5788715
18;6184162;6184162;;1.5;1.5;1;Fotovoltaico;NO;SOLAR;Conectado;1;07-12-2020 12:12;28-01-2021 12:01;38062526;156947;440781;675;194;146;;NO;1;1;MONOFASICO;0.22;1;19;186712.269;5705608.532;-38.7452797;-72.6068089
18;6260262;6260262;;3.24;3.24;1;Fotovoltaico;NO;SOLAR;Conectado;1;17-11-2022 12:11;13-12-2022 12:12;;244734;1937553;675;194;146;;NO;1;1;MONOFASICO;0.22;1;19;186136.003;5705175.325;-38.7489711;-72.6136233
18;6326581;6326581;;2.43;2.43;1;Fotovoltaico;NO;SOLAR;Formulario 4;1;22-11-2022 12:11;;;495259;1716732123;675;194;146;;NO;1;1;MONOFASICO;0.22;1;19;189711.577;5697950.347;-38.8152148;-72.5758061
